Atari System JAMMA Adapter,,,,,,,,,,,,
Index,Component,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity,Pack Quantity 1,Pack Type 1,Digi-Key Part Number,Unit Price,Extended Price,Link,Notes
,,,,,,,,,,,,
1,U1,LM386N-1,Texas Instruments,IC AMP CLASS AB MONO 325MW 8DIP,1,1,Tube,296-44414-5-ND,1.05,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-1-NOPB/6284,
2,U2,SN74LS86AN,Texas Instruments,IC GATE XOR 4CH 2-INP 14DIP,1,1,Tube,296-1669-5-ND,0.75,$0.75,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS86AN/277315,
3,U3,MC34063AP,Texas Instruments,IC REG BUCK BOOST ADJ 1.5A 8PDIP,1,1,Tube,296-17766-5-ND,1.36,$1.36,https://www.digikey.com/en/products/detail/texas-instruments/MC34063AP/717432,
4,U4,SN74LS04N,Texas Instruments,IC INVERTER 6CH 1-INP 14DIP,1,1,Tube,296-1629-5-ND,0.91,$0.91,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS04N/277275,
5,SW1,DS04-254-2L-01BK,Same Sky (Formerly CUI Devices),SWITCH SLIDE DIP SPST 0.025A 24V,1,1,Tube,2223-DS04-254-2L-01BK-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/DS04-254-2L-01BK/11310830,
6,,22285364,Molex,CONN HEADER VERT 36POS 2.54MM,2,1,Bag,WM50034-36-ND,1.42,2.84,https://www.digikey.com/en/products/detail/molex/0022285364/6167155,
7,POWER,26481085,Molex,CONN HEADER VERT 8POS 3.96MM,1,1,Bulk,WM50008-08-ND,1.14,1.14,https://www.digikey.com/en/products/detail/molex/0026481085/26767,
8,GND,26481045,Molex,CONN HEADER VERT 4POS 3.96MM,2,1,Bulk,WM50008-04-ND,0.79,1.58,https://www.digikey.com/en/products/detail/molex/0026481045/26759,
9,P1,PT6KV-103A2020,Amphenol Piher Sensing Systems,TRIMMER 10K OHM 0.1W PC PIN TOP,1,1,Bulk,1993-PT6KV-103A2020-ND,0.5,$0.50,https://www.digikey.com/en/products/detail/amphenol-piher-sensing-systems/PT6KV-103A2020/13244440,
10,R1 / R2 / R5,CFM14JT470R,Stackpole Electronics Inc,RES 470 OHM 5% 1/4W AXIAL,2,1,Cut Tape (CT),S470QCT-ND,0.1,$0.20,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT470R/1742224,
11,R3,CFM14JT22R0,Stackpole Electronics Inc,RES 22 OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S22QCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT22R0/1742137,
12,R4,CFM14JT10R0,Stackpole Electronics Inc,RES 10 OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S10QCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT10R0/1742055,
13,R6,CFM14JT1R00,Stackpole Electronics Inc,RES 1 OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S1QCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/cfm14jt1r00/1742027,
14,R7,CFM14JT47K0,Stackpole Electronics Inc,RES 47K OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S47KQCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/cfm14jt47k0/1742228,
15,R8,CFM14JT5K10,Stackpole Electronics Inc,RES 5.1K OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S5.1KQCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT5K10/1742231,
16,C1 / C5,C410C104K3R5TA7200,KEMET,CAP CER 0.1UF 25V X7R AXIAL,2,1,Cut Tape (CT),399-C410C104K3R5TA7200CT-ND,0.23,$0.46,https://www.digikey.com/en/products/detail/kemet/C410C104K3R5TA7200/14681403,
17,C2 / C3,ESK106M010AC3AA,KEMET,CAP ALUM 10UF 20% 10V RADIAL TH,2,1,Bulk,399-ESK106M010AC3AA-ND,0.21,$0.42,https://www.digikey.com/en/products/detail/kemet/ESK106M010AC3AA/13176733,
18,C4,ESY108M010AH2EA,KEMET,CAP ALUM 1000UF 20% 10V RADIAL,1,1,Bulk,399-6662-1-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/kemet/ESY108M010AH2EA/3083077,
19,C6 / C8,ESK107M016AC3AA,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH,2,1,Bulk,399-6601-ND,0.17,$0.34,https://www.digikey.com/en/products/detail/kemet/ESK107M016AC3AA/3083016,
20,C7,QYX2A152JTP,Nichicon,CAP FILM 1500PF 5% 100VDC RADIAL,1,1,Bulk,493-3478-ND,0.42,0.42,https://www.digikey.com/en/products/detail/nichicon/QYX2A152JTP/2117767,
21,L1,RLB9012-221KL,"Bourns, Inc.",FIXED IND 220UH 1A 650 MOHM TH,1,1,Bulk,RLB9012-221KL-ND,0.58,0.58,https://www.digikey.com/en/products/detail/bourns-inc/RLB9012-221KL/1969608,
22,D1,1N5819G,onsemi,DIODE SCHOTTKY 40V 1A AXIAL,1,1,Bulk,1N5819GOS-ND,0.23,$0.23,https://www.digikey.com/en/products/detail/onsemi/1N5819G/1474211,
