Outrun JAMMA Adapter BOM,,,,,,,,,,,,
Index,Component,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity,Pack Quantity 1,Pack Type 1,Digi-Key Part Number,Unit Price,Extended Price,Link,Notes
,,,,,,,,,,,,
1,U1,LM386N-1/NOPB,Texas Instruments,IC AMP CLASS AB MONO 325MW 8DIP,1,1,Tube,296-44414-5-ND,1.05,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-1-NOPB/6284,
2,U2,MCP4902-E/P,Microchip Technology,IC DAC 8BIT 14-PDIP,1,1,Tube,MCP4902-E/P-ND,1.84,$1.84,https://www.digikey.com/en/products/detail/microchip-technology/MCP4902-E-P/2332821,
3,U3,ATMEGA328-PU,Microchip Technology,IC MCU 8BIT 32KB FLASH 28DIP,1,1,Tube,ATMEGA328-PU-ND,2.63,$2.63,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328-PU/2271026,
4,VOL,PT6KV-103A2020,Amphenol Piher Sensing Systems,TRIMMER 10K OHM 0.1W PC PIN TOP,1,1,Bulk,1993-PT6KV-103A2020-ND,0.5,$0.50,https://www.digikey.com/en/products/detail/amphenol-piher-sensing-systems/PT6KV-103A2020/13244440,
,,,,,,,,,,,,
5,R1 / R2,CFM14JT470R,Stackpole Electronics Inc,RES 470 OHM 5% 1/4W AXIAL,2,2,Cut Tape (CT),S470QCT-ND,0.1,$0.20,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT470R/1742224,
6,R3,CF14JT2K20,Stackpole Electronics Inc,RES 2.2K OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),CF14JT2K20CT-ND,0.16,$0.16,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT2K20/1741321,
7,R3 / R4,CFM14JT10R0,Stackpole Electronics Inc,RES 10 OHM 5% 1/4W AXIAL,2,2,Cut Tape (CT),S10QCT-ND,0.1,$0.20,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT10R0/1742055,
8,R5-R8,CFM14JT100R,Stackpole Electronics Inc,RES 100 OHM 5% 1/4W AXIAL,4,4,Cut Tape (CT),S100QTR-ND,0.1,$0.40,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT100R/1742057,
9,R9,CFM14JT10K0,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,1,1,Cut Tape (CT),S10KQTR-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT10K0/1742061,
10,C1 / C5-C7,C410C104K3R5TA7200,KEMET,CAP CER 0.1UF 25V X7R AXIAL,10,10,Cut Tape (CT),399-C410C104K3R5TA7200CT-ND,0.23,$2.29,https://www.digikey.com/en/products/detail/kemet/C410C104K3R5TA7200/14681403,
11,C2 / C3,ESK106M010AC3AA,KEMET,CAP ALUM 10UF 20% 10V RADIAL TH,2,2,Bulk,399-ESK106M010AC3AA-ND,0.21,$0.42,https://www.digikey.com/en/products/detail/kemet/ESK106M010AC3AA/13176733,
,C4,ESY108M010AH2EA,KEMET,CAP ALUM 1000UF 20% 10V RADIAL,1,1,Bulk,399-6662-1-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/kemet/ESY108M010AH2EA/3083077,
12,,,,,,,,,,,,
13,U1S,1-2199298-2,TE Connectivity ,CONN IC DIP SOCKET 8POS TIN,1,1,Bulk,A120347-ND,0.22,$0.22,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1-2199298-2/5022039,
,U3S,1-2199298-9,TE Connectivity,CONN IC DIP SOCKET 28POS TIN1,1,1,Bulk,A120353-ND,1.01,$1.01,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1-2199298-9/5022045,
14,,,,,,,,,,,,
15,D,XG4A-2031,Omron Electronics Inc,CONN HEADER VERT 20POS 2.54MM,1,1,Tray,OR885-ND,2.12,$2.12,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/XG4A-2031/1787149,
16,G,XG4A-5031,Omron Electronics Inc,CONN HEADER VERT 50POS 2.54MM,1,1,Tray,OR894-ND,3.80,$3.80,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/XG4A-5031/1787154,
17,H,26644060,Molex,CONN HEADER VERT 6POS 3.96MM,1,1,Bulk,WM4655-ND,0.76,$0.76,https://www.digikey.com/en/products/detail/molex/0026644060/2002014,
18,"J, K",XG4A-1031,Omron Electronics Inc,CONN HEADER VERT 10POS 2.54MM,2,1,Tray,OR880-ND,1.41,$2.82,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/XG4A-1031/1787146,
19,P,26644040,Molex,CONN HEADER VERT 4POS 3.96MM,1,1,Bulk,23-0026644040-ND,1.29,$1.29,https://www.digikey.com/en/products/detail/molex/0026644040/2002012?s=N4IgTCBcDaIAxzANiQFlXDIC6BfIA,
