RoadBlasters JAMMA Adapter,,,,,,,,,,,,,,,
Index,Component,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity,Pack Quantity 1,Pack Type 1,Digi-Key Part Number,Unit Price,Extended Price,Link,Notes
,,,,,,,,,,,,,,,
1,U1,SN74LS86AN,Texas Instruments,IC GATE XOR 4CH 2-INP 14DIP,"5,091",In Stock,,1,1,Tube,296-1669-5-ND,0.75,$0.75,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS86AN/277315,
2,U2,NE555P,Texas Instruments,IC OSC SINGLE TIMER 100KHZ 8-DIP,"29,812",In Stock,,1,2,Tube,296-NE555P-ND,0.51,$0.51,https://www.digikey.com/en/products/detail/texas-instruments/NE555P/277057,
3,U3,MC34063AP,Texas Instruments,IC REG BUCK BOOST ADJ 1.5A 8PDIP,"1,461",In Stock,,1,1,Tube,296-17766-5-ND,1.36,$1.36,https://www.digikey.com/en/products/detail/texas-instruments/MC34063AP/717432,
4,U4,LM386N-1/NOPB,Texas Instruments,IC AMP CLASS AB MONO 325MW 8DIP,"2,629",In Stock,,1,1,Tube,296-44414-5-ND,1.05,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-1-NOPB/6284,
5,SW1,DS04-254-2L-01BK,Same Sky (Formerly CUI Devices),SWITCH SLIDE DIP SPST 0.025A 24V,"1,090",In Stock,,1,1,Tube,2223-DS04-254-2L-01BK-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/DS04-254-2L-01BK/11310830,
6,J101-J108,22284361,Molex,CONN HEADER VERT 36POS 2.54MM,"4,848",In Stock,,1,1,Bag,WM50017-36-ND,1.23,$1.23,https://www.digikey.com/en/products/detail/molex/0022284361/313891,
7,P1,PT6KV-103A2020,Amphenol Piher Sensing Systems,TRIMMER 10K OHM 0.1W PC PIN TOP,"35,298",In Stock,,1,1,Bulk,1993-PT6KV-103A2020-ND,0.5,$0.50,https://www.digikey.com/en/products/detail/amphenol-piher-sensing-systems/PT6KV-103A2020/13244440,
,,,,,,,,,,,,,,,
11,R1 / R2 / R7,CFM14JT470R,Stackpole Electronics Inc,RES 470 OHM 5% 1/4W AXIAL,"19,913",In Stock,,2,2,Cut Tape (CT),S470QCT-ND,0.1,$0.20,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT470R/1742224,510 R acceptable
12,R3,CFM14JT22R0,Stackpole Electronics Inc,RES 22 OHM 5% 1/4W AXIAL,"9,788",In Stock,,1,1,Cut Tape (CT),S22QCT-ND,0.1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT22R0/1742137,
