Spy Hunter JAMMA Adapter,,,,,,,,,,,,,,
Index,Component,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity,Pack Quantity 1,Pack Type 1,Digi-Key Part Number,Unit Price,Extended Price,Link,Notes,,
,,,,,,,,,,,,,,
1,U1,SN74LS86AN,Texas Instruments,IC GATE XOR 4CH 2-INP 14DIP,1,1,Tube,296-1669-5-ND,0.75,$0.75,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS86AN/277315,,,
2,U2,SN74LS74AN,Texas Instruments,IC FF D-TYPE DOUBLE 1BIT 14PDIP,1,1,Tube,296-1668-5-ND,0.75,$0.75,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS74AN/277314,,,
3,U3 U4,SN74LS00N,Texas Instruments,IC GATE NAND 4CH 2-INP 14DIP,2,1,Tube,296-1626-ND,0.76,$1.52,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS00N/277272,,,
4,U5 U6,SN74LS191N,Texas Instruments,IC BINARY COUNTER 4-BIT 16DIP,2,1,Tube,296-14886-5-ND,1.58,$3.16,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS191N/563041,,,
5,U7 U10,NE555P,Texas Instruments,IC OSC SINGLE TIMER 100KHZ 8-DIP,2,2,Tube,296-NE555P-ND,0.51,$1.02,https://www.digikey.com/en/products/detail/texas-instruments/NE555P/277057,,,
6,U8 U9,SN74LS157N,Texas Instruments,IC MULTIPLEXER 4 X 2:1 16-PDIP,2,1,Tube,296-1645-5-ND,1.02,$2.04,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS157N/277291,,,
7,U11,LM386N-1/NOPB,Texas Instruments,IC AMP CLASS AB MONO 325MW 8DIP,1,1,Tube,296-44414-5-ND,1.05,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-1-NOPB/6284,,,
8,U12,CD4099BE,Texas Instruments,IC D-TYPE ADDR 1:8 16-PDIP,1,1,Tube,296-2070-5-ND,1.22,$1.22,https://www.digikey.com/en/products/detail/texas-instruments/CD4099BE/67333,,,
9,SW1,DS04-254-2L-01BK,Same Sky (Formerly CUI Devices),SWITCH SLIDE DIP SPST 0.025A 24V,1,1,Tube,2223-DS04-254-2L-01BK-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/DS04-254-2L-01BK/11310830,,,
